segment_id,impact_type,flow_diff,flow_pct,speed_diff,speed_pct,sample_count,clean_name
M60 J10 anti-clockwise exit exitSlipRoad 115023701,pre_match_all,708.5,91.12540192926045,-18.284999999999997,-31.516352824578785,129,M60 CW
M60 J10 clockwise exit exitSlipRoad 115013401,pre_match_all,316.5,86.83127572016461,-9.501249999999995,-24.572463065334745,77,M60 CW
M60 J23 anti-clockwise access entrySlipRoad 115028602,pre_match_all,476.0,85.1520572450805,6.064999999999998,8.927979980127327,25,M60 CW
M60 J10 clockwise access entrySlipRoad 115021502,pre_match_all,487.5,74.42748091603053,-0.15749999999999886,-0.26134572305649856,126,M60 CW
M60 anti-clockwise within J24 mainCarriageway 115029001,pre_match_all,1205.5,72.9721549636804,1.0674999999999955,0.9738408557027805,132,M60 CW
M60 J14 anti-clockwise exit exitSlipRoad 115008501,pre_match_all,220.5,72.5328947368421,0.6349999999999909,0.7962382445140952,132,M60 CW
connector at M60 J21 - A663 roundabout 115009601,pre_match_all,234.0,69.43620178041543,-0.7662500000000136,-0.8742156303479903,74,M60
M60 J23 anti-clockwise exit for A6140 exitSlipRoad 115028801,pre_match_all,536.5,68.95886889460155,-8.816250000000004,-12.344663422830543,132,M60 CW
M60 clockwise within J4 mainCarriageway 115006601,pre_match_all,748.0,68.62385321100918,1.6350000000000051,1.5202584904344638,132,M60 CW
M60 J10 anti-clockwise access entrySlipRoad 115021301,pre_match_all,256.0,68.08510638297872,-0.9849999999999994,-1.6499162479061964,123,M60 CW
M60 anti-clockwise within J21 mainCarriageway 115019101,pre_match_all,790.5,67.59298845660538,1.4725000000000108,1.3476102226188125,132,M60 CW
M60 clockwise between J6 and J7 roundabout 200045978,pre_match_all,561.0,67.54966887417218,-4.316249999999997,-4.314470281009081,132,M60 CW
M60 J8 clockwise access entrySlipRoad 115026401,pre_match_all,157.0,65.96638655462185,-2.7337500000000006,-3.762904335856848,132,M60 CW
M60 J27 clockwise access entrySlipRoad 115027001,pre_match_all,337.5,65.78947368421053,-0.10124999999999318,-0.15612952968387536,132,M60 CW
M60 clockwise between J4 and J5 mainCarriageway 115002401,pre_match_all,1069.0,65.70374923171481,0.6937500000000085,0.652649403795958,132,M60 CW
M60 clockwise within J5 mainCarriageway 115002102,pre_match_all,833.0,65.28213166144201,0.8400000000000034,0.7583366247249368,132,M60 CW
M60 anti-clockwise between J24 and J23 mainCarriageway 115029201,pre_match_all,1587.0,64.89470455939481,-0.2224999999999966,-0.2089888695815494,132,M60 CW
M60 anti-clockwise between J21 and J20 mainCarriageway 115019302,pre_match_all,1037.5,64.28128872366791,1.9500000000000028,1.781635449977161,132,M60 CW
M60 anti-clockwise between J25 and J24 mainCarriageway 115028101,pre_match_all,1582.0,64.15247364152474,0.17499999999999716,0.16921700872676013,132,M60 CW
connector at M60 J12 - M62 J12 - M602 J1 exitSlipRoad 115023201,pre_match_all,176.0,62.63345195729537,-1.6337500000000063,-2.1166677463237757,132,M60
