segment_id,impact_type,flow_diff,flow_pct,speed_diff,speed_pct,sample_count,clean_name
M60 J6 clockwise access entrySlipRoad 200045977,pre_match_all,195.0,60.9375,-33.63249999999999,-44.64540536952842,8,M60 CW
M60 anti-clockwise between J14 and J13 mainCarriageway 115013801,pre_match_all,889.0,22.070506454816286,-32.807500000000005,-36.60938458963343,132,M60 CW
M60 anti-clockwise within J14 mainCarriageway 115013902,pre_match_all,549.5,24.97727272727273,-31.348749999999995,-34.58886161145284,132,M60 CW
M60 J7 clockwise exit exitSlipRoad 200045973,pre_match_all,0.0,,-26.926249999999996,-52.63016443108798,51,M60 CW
M60 anti-clockwise within J13 mainCarriageway 115015601,pre_match_all,817.0,21.22077922077922,-21.526250000000005,-24.10318137920417,132,M60 CW
M60 J10 anti-clockwise exit exitSlipRoad 115023701,pre_match_all,708.5,91.12540192926045,-18.284999999999997,-31.516352824578785,129,M60 CW
M60 clockwise between J8 and J9 mainCarriageway 115021801,pre_match_all,1337.5,51.541425818882466,-18.273749999999993,-18.448550011357607,132,M60 CW
M60 J7 anti-clockwise exit exitSlipRoad 200045964,pre_match_all,0.0,,-16.621250000000003,-30.303099361896084,48,M60 CW
connector at M60 J8 clockwise roundabout 200045969,pre_match_all,0.0,,-16.32625,-16.196274893975847,132,M60 CW
M60 clockwise within J12 after M602 J1 access mainCarriageway 115024402,pre_match_all,1056.0,30.8141231397724,-15.640000000000015,-17.59280089988753,132,M60 CW
M60 clockwise within J12 before M602 J1 access mainCarriageway 115023301,pre_match_all,791.5,30.99060297572435,-15.447500000000005,-16.257959269589016,132,M60 CW
M60 anti-clockwise between J11 and J10 mainCarriageway 115023401,pre_match_all,1225.0,38.70458135860979,-14.449999999999989,-15.58371528713938,132,M60 CW
M60 anti-clockwise between J13 and J12 mainCarriageway 115024301,pre_match_all,1099.5,21.806822689408964,-13.158749999999998,-14.765825536868974,132,M60 CW
M60 clockwise within J8 mainCarriageway 200045968,pre_match_all,1081.0,45.107448362194866,-13.090000000000003,-12.627212656152032,132,M60 CW
M60 J17 clockwise exit exitSlipRoad 115009901,pre_match_all,256.0,38.03863298662704,-12.381250000000001,-22.725708385912586,132,M60 CW
M60 clockwise within J9 mainCarriageway 115021401,pre_match_all,706.0,35.819381024860476,-11.601249999999993,-11.390525282277855,132,M60 CW
M60 anti-clockwise within J15 before J14 exit mainCarriageway 115014001,pre_match_all,730.0,30.633655056651282,-11.102500000000006,-12.333712889160449,132,M60 CW
M60 clockwise between J11 and J12 mainCarriageway 115023501,pre_match_all,825.5,24.557489216123756,-10.917500000000004,-11.838859218694937,132,M60 CW
M60 anti-clockwise within J11 mainCarriageway 115022501,pre_match_all,1100.5,42.37581825182903,-10.700000000000003,-11.320954345871028,132,M60 CW
M60 J9 clockwise exit exitSlipRoad 115010601,pre_match_all,277.0,24.887690925426774,-10.420000000000002,-21.760467787407332,131,M60 CW
